Primary Campus,University,School Name,Course Name,Class Name,
Grand Total,,,,,21438
AU,Australian Catholic University,Faculty of Health Sciences,Master of Public Health,July 2024 Intake (USD),1
,,,Master of Public Health (Global Health and Advocacy),July 2024 Intake (USD),1
,,Faculty of Law and Business,Master of Business Administration,February 2024 Intake (USD) (2 Years),1
,,,,July 2024 Intake (USD) (1 Year),1
,,,,July 2024 Intake (USD) (2 Years),1
,,,Master of Information Technology,February 2024 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Professional Accounting,February 2024 Intake (USD),1
,,,,July 2024 Intake (USD),1
,Australian National University,College of Asia & the Pacific,Master of International and Development Economics,February 2024 Intake (USD),1
,,,Master of Public Policy,February 2024 Intake (USD),1
,,,,February 2025 Intake (USD),1
,,,Master of Technology Governance,February 2024 Intake (USD),1
,,College of Business & Economics,Master of Actuarial Studies,February 2024 Intake (USD),1
,,,Master of Applied Accounting,February 2025 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Applied Accounting and Master of Financial Management,February 2024 Intake (USD),1
,,,,February 2025 Intake (USD),1
,,,Master of Applied Economics,February 2024 Intake (USD),1
,,,,February 2025 Intake (USD),1
,,,Master of Applied Finance,February 2024 Intake (USD),1
,,,Master of Business Information Systems,February 2024 Intake (USD),1
,,,,February 2025 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Commerce (Advanced),February 2024 Intake (USD),1
,,,,February 2025 Intake (USD),1
,,,Master of Economic Policy,February 2024 Intake (USD),1
,,,Master of Economics,February 2024 Intake (USD),1
,,,,February 2025 Intake (USD),1
,,,Master of Finance,February 2024 Intake (USD),1
,,,Master of Financial Economics,February 2024 Intake (USD),1
,,,Master of Financial Management and Law,February 2024 Intake (USD),1
,,,Master of International Management,February 2024 Intake (USD),1
,,,Master of Professional Accounting,February 2024 Intake (USD),1
,,,,February 2025 Intake (USD),1
,,,Master of Project Management,February 2024 Intake (USD),1
,,"College of Engineering, Computing and Cybernetics",Master of Applied Cybernetics (Advanced),February 2024 Intake (USD),1
,,,Master of Applied Data Analytics,February 2024 Intake (USD),1
,,,Master of Computing,February 2024 Intake (USD),1
,,,,February 2025 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Engineering in Electrical Engineering,February 2024 Intake (USD),1
,,,Master of Engineering in Energy Systems,February 2024 Intake (USD),1
,,,"Master of Engineering in Robotics, Automation and Control",February 2024 Intake (USD),1
,,,,February 2025 Intake (USD),1
,,,Master of Machine Learning and Computer Vision,February 2024 Intake (USD),1
,,College of Health and Medicine,Master of Neuroscience,February 2024 Intake (USD),1
,,,Master of Public Health,February 2024 Intake (USD),1
,,,Master of Public Health (Advanced),February 2024 Intake (USD),1
,,College of Science,Master of Biotechnology,February 2024 Intake (USD),1
,,,Master of Biotechnology (Advanced),July 2024 Intake (USD),1
,,,Master of Mathematical Sciences (Advanced),February 2024 Intake (USD),1
,,,Master of Science (Advanced) in Materials Science,February 2024 Intake (USD),1
,,,Master of Science (Advanced) in Quantitative Biology and Bioinformatics,February 2024 Intake (USD),2
,,,Master of Science (Advanced) in Theoretical Physics,February 2024 Intake (USD),1
,,,Master of Science in Materials Science,February 2024 Intake (USD),1
,Charles Sturt University,"Faculty of Business, Justice and Behavioural Sciences",Master of Applied Finance,Fall 2024 Intake,1
,Deakin University,Faculty of Business and Law,Master of Business (Marketing),July 2024 Intake (USD),1
,,,,March 2024 Intake (USD),1
,,,Master of Business Administration (International),July 2024 Intake (USD),1
,,,,March 2024 Intake (USD),1
,,,,November 2024 Intake (USD),1
,,,Master of Business Analytics,July 2024 Intake (USD),1
,,,,March 2024 Intake (USD),1
,,,,March 2025 Intake (USD),1
,,,Master of Data Science,March 2024 Intake (USD),1
,,,Master of Finance,July 2024 Intake (USD),1
,,,,March 2024 Intake (USD),1
,,,Master of Research (Business),July 2024 Intake (USD),1
,,,,March 2024 Intake (USD),1
,,Faculty of Health,Master of Applied Science (Health and Disease),July 2024 Intake (USD),1
,,,,March 2024 Intake (USD),1
,,,Master of Applied Science (Health),July 2024 Intake (USD),1
,,,,March 2024 Intake (USD),1
,,,Master of Health Economics,July 2024 Intake (USD),1
,,,,March 2024 Intake (USD),1
,,,Master of Health Promotion,July 2024 Intake (USD),1
,,,,March 2024 Intake (USD),1
,,"Faculty of Science, Engineering and Built Environment",Master of Applied Artificial Intelligence (Professional),July 2024 Intake (USD),1
,,,,March 2024 Intake (USD),1
,,,Master of Biotechnology (Professional),July 2024 Intake (USD),1
,,,Master of Cyber Security,July 2024 Intake (USD),1
,,,,March 2024 Intake (USD),1
,,,Master of Cyber Security (Professional),July 2024 Intake (USD),1
,,,,March 2024 Intake (USD),1
,,,Master of Data Science,July 2024 Intake (USD),1
,,,,March 2024 Intake (USD),1
,,,Master of Data Science (Professional),July 2024 Intake (USD),1
,,,,March 2024 Intake (USD),1
,,,Master of Energy System Management,July 2024 Intake (USD),1
,,,,March 2024 Intake (USD),1
